,序号,领导,标题,类型,领域,状态,创建日期,详细内容
0,17686471,东城区区长周金星,关于胡同建设的建议,建言,城建,已办理,2023-03-29 10:38:34,"领导好：
        感谢您百忙之中的阅读，作为城市建设，街区的输血能力不足，不像其他一些城市，缺少“毛细血管输血”的能力。像是我住在胡同里，想要到达大街，通常需要走上数百米，没有一条路直达大街。如果是骑车情况会好很多，但是开车的话，经常会遇到街道两侧过窄无法顺畅通行的情况。
        希望领导在整体规划时再次让每一条东城胡同焕发生机！感谢！"
1,17518990,东城区区长周金星,老旧小区改造内容尽量花小钱办大事,建言,城建,已办理,2023-03-06 20:07:06,定安里35，37，38老旧小区改造内容张贴出来了，改造费用很高，代价不小，建议千万要把钱花在刀刃上，切实提高小区居住舒适度。
2,17314401,东城区区长周金星,关于四轮电动车或燃油摩的的管理问题,建言,城建,已办理,2023-02-13 09:08:45,东城区南片区有许多人开四轮电动车或燃油摩的，既没有像电动自行车一样的牌照，也不需要汽车那样的驾照，整天在狭小的街道或小区里横冲直撞，乱停乱放，严重影响了居民的出行安全和便利生活，请从售卖源头和使用者两个方面共同加强管理治理，营造核心城区良好生活环境。
3,17112950,东城区区长周金星,开放养老服务站点,建言,文娱,已办理,2023-01-09 12:28:10,朝阳门街道养老服务站点之前对社区居民开放，但目前关闭了。建议重新开放。
4,16957527,东城区区长周金星,合并路边停车区域,建言,交通,已办理,2022-12-20 20:19:48,我有资格在南竹杆胡同区域路边停车。但此区域停车位紧张。与此相邻的南水关区域停车空位多，可我在那里停车无法享受停车费优惠。建议将两个区域合并，充分利用资源，方便市民停车。谢谢！
5,16870137,东城区区长周金星,柏林寺西小区何时能参与老旧小区改造,建言,城建,已办理,2022-12-08 14:39:56,"柏林寺西小区建成于1985年，至今已服役37年。区域内现居民多为老人。该小区的6层板楼均没有电梯，也不利于老人上下楼。且因房屋及内部管道年久失修，亟待改造。

请问柏林寺西小区何时能参与到近期东城区陆续推出的老旧小区改造呢？是否可以加装电梯？是否可以改造外立面、增加防护栏？是否可以更换上下水管道？

谢谢。"
6,16629943,东城区区长周金星,东城区建国门街道大雅宝社区盛放胡同腾退,建言,城建,已办理,2022-11-16 17:11:46,"区长同志您好，
        我是东城区建国门街道盛放胡同的辖区居民，我想向您咨询一下该胡同有腾退的消息吗？胡同内现在老房子居多，年久失修，影响居民的生命财产安全。社区居民希望能够尽早腾退，用腾退安置款能够换一个相对更好的居住环境。另外本胡同的老人居多，经常将一些长久不用的闲置物品堆放在院落消防通道，影响居民进出，希望领导能够予以解决。最后再次代表本社区居民向区长表达一下希望早日腾退的诉求。"
7,16571673,东城区区长周金星,北京广和剧场未来建设和使用计划,建言,文娱,已办理,2022-11-11 22:15:02,您好，北京前门外前门大街东侧的广和剧场是北京地区有这悠久历史的老字号戏院，诸多京剧名角儿曾登台献艺，也曾曾几经改建改名。据我观察，如今的广和剧场北侧修建了古风戏台，前些年还演出过。南侧广和剧场本体，看起来外观也已建设完成，请问未来有什么使用计划？也好丰富“大戏看北京”文化品牌和文化场所
8,16491553,东城区区长周金星,关于东四三至八条腾退问题,建言,城建,已办理,2022-11-06 11:27:11,领导您好！东四三至八条是第一批保护区域，这两年都是简易楼在进行腾退。我想问一下什么时候平房院落直管公房才能轮到腾退，从2016年开始计划已经快8年了，为什么一直落实不了。院子的生活环境真的恶劣，希望能够早日腾退。
9,16283446,东城区区长周金星,小区改造后,建言,城建,已办理,2022-10-15 11:01:07,"我们是东直门内北小街26号楼（民安小区）的居民，去年物业对小区院落停车斥巨资做了改造，也曾引起诸多不满，比如我就多次反映问题，我本有两个车位，这次改造被剥夺了一个。本以为经过改造后会整齐划一方便群主生活。但是，改造后大约一年时间了，环境改善不大，自行车电摩托随意乱停，没有停车位的车随便进出在非停车位乱停，造成有正式停车位的车进出车位十分不便，剐蹭时有发生。小区环境和停车管理并无改善。

在此，我建议：既然改造了，就要加强管理，提升居民的获得感和舒适度，方便居民生活。"
10,16235244,东城区区长周金星,苏州胡同1、2、3号楼居民申请旧改改建,建言,城建,已办理,2022-10-10 11:37:14,"尊敬的周区长 您好：
       东城区苏州胡同1、2、3号楼已列入了旧改规划。 1、2号楼是50多年的老砖楼，三户合用一个2平米卫生间，生活空间狭小。2号楼东墙在1976年地震中开裂，裂缝最宽处约3厘米，墙体结构严重破坏，存在安全隐患。抗震加固方案无法解决墙体老化、楼板开裂、结构破坏、年久失修等根本性问题。社区居民希望相关部门可以修改旧改方案，依据市政府的新政策进行改建扩建，切实改善居住生活条件，彻底解决居住安全问题。 "
