,序号,领导,标题,类型,领域,状态,创建日期,详细内容
0,17626535,东城区委书记孙新军,天坛公园秩序管理建议,建言,旅游,已办理,2023-03-20 14:37:35,3月19日带孩子去逛天坛公园，发现许多游客的行为与这座皇家园林要体现的历史和文化不协调，以下请看：1、带宠物猫进入天坛，包在包里躲过工作人员检查；2、在公园内的场地内打网球和羽毛球，周围还有很多游客；3、在公园内三五成群踢毽子，周围还有很多游客路过，并还有旅游团路过；天坛公园是座历史悠久的皇家园林，在这里搞体育运动有些不合适，带宠物进入园中也严重破坏园内的生态环境，园内还有大量外地游客和旅游团，他们会怎么看北京首都的皇家园林内出现这样的场景，请有关部门出台政策进行管理，保护皇家园林自然环境和古建筑设施的安全，非常感谢！
1,17577528,东城区委书记孙新军,东城区大格巷腾退,建言,城建,已办理,2023-03-12 21:44:51,"领导您好，我现住东城区大格巷24号院旁门
1.东城区国子监地区从2022年开始进行申请式退租工作，但因房屋所有权还未完全从北京市汽车修理二厂（朝阳区李家坟5号）移交到东城区房管局，大格巷24号院未在退租范围内。
2.因住户的需求，国子监城市更新指挥部进行收集住户退租意向并向上反应，据我们所知，有一家不同意退租导致指挥部无法继续开展工作，剩余住户都无法退租，生活迟迟不能得到改善。
根据2023年3月1日开始实施的《北京市城市更新条例》第二十八条 “城市更新项目范围内物业权利人腾退协议签约比例达到百分之九十五以上的，实施主体与未签约物业权利人可以向区人民政府申请调解。调解不成且项目实施涉及法律、行政法规规定的公共利益，确需征收房屋的，区人民政府可以依据《国有土地上房屋征收与补偿条例》等有关法律法规规定对未签约的房屋实施房屋征收。”是否可以理解为95%以上的住户同意签约就可以继续进行退租工作？
希望可以继续所有权移交工作和退租工作，得到生活改善。"
2,17416688,东城区委书记孙新军,建议老旧小区加装充电桩,建言,城建,已办理,2023-02-24 22:12:42,老旧小区没有电动汽车充电设施，不利于新能源车。建议在老旧小区安装充电桩。尤其像甘柏社区这些已经有物业入住的小区。
3,17336825,东城区委书记孙新军,南锣鼓巷西侧胡同街面小广告重现,建言,治安,已办理,2023-02-15 17:47:21,"生活回归正常，小广告也重现南锣鼓巷西侧片区胡同内。
蓑衣胡同街面公共区域小广告比较严重，请街道综合执法队警惕。"
4,17271934,东城区委书记孙新军,推进成立业委会  减少并化解业主与物业间矛盾,建言,城建,已办理,2023-02-08 11:06:06,  加强社区居民自治，推进成立小区业主委员会，提升业委会的履职能力，可减少并化解业主与物业公司之间的矛盾，有利于和谐社区的建设。
5,17221209,东城区委书记孙新军,东城区6号地拆迁进展,建言,城建,已办理,2023-01-31 06:38:34,东城区6号地的拆迁工作什么时候开展？难道拆迁公告之前没有计划部署？为什么就6号地有困难？
6,17221048,东城区委书记孙新军,胡同“单行单停”能解决拥堵问题实现微循环,建言,交通,已办理,2023-01-31 03:12:56,前些年东城区推行“单行单停”策略，解决胡同交通拥堵问题，尤其是南锣鼓巷景区内的胡同交通拥堵更为严重。胡同一侧停车、一侧行车，有效打通胡同交通微循环。胡同狭窄车多拥堵是常见现象，尤其是与南锣鼓巷主街相连的胡同，同时也起到高峰期游客疏散作用。南锣鼓巷主街周边胡同密集狭窄、私家车拥有量成倍增长、停车设施严重不足，是老城区出行拥堵的主要难题。据本人长期现场观察，有些胡同本来道路狭窄，但是仍停满了车。（沙井胡同南侧支线）影响社会车辆往来，影响了居民的出行，增加了消防和急救车进入胡同的难度，苦不堪言。根据东城区交通委之前的胡同试点“单行单停”，已经形成单行线的胡同，加设监控探头，以防部分车辆违规逆行驶入胡同。但南锣鼓巷全国知名景区内的限行标志如同虚设（秦老胡同西口），自驾旅游车辆从不遵守。久而久之部分居民也改变了正确的行车方向和出行习惯。此外，南锣鼓巷景区两边胡同单侧，摆放长方形木质花钵或在停放废弃的电动三轮车、废弃残疾人摩托车及废弃的快递箱体车用于存放回收或经营用品。更加影响了单向车辆本就狭窄的通行空间。更不用提双向车辆相遇错车通行的可能。这么多年了南锣景区周边网红店如雨后春笋，疫情结束后客流量也逐步恢复到顶峰时期。但交通环境更加恶劣了，拥堵更加严重了。希望东城区委、交通委及景区胡同管理部门能够出主意，想办法，解决景区居民节假日出行难问题。
7,17172469,东城区委书记孙新军,关于景泰东里小区内几个需要解决的问题,建言,城建,已办理,2023-01-18 00:58:42,"景泰东里小区是属于93年建成的小区现如今已经有30年了，请领导帮忙解决以下几个问题
1:小区去年大面积的重新铺了沥青，但是路面的地砖并没有修整，有损坏严重和翘起严重的地砖极容易绊倒行人。请帮忙解决小区内地砖问题。
2:小区的门禁系统在前两年建成之后就没有投入使用过，现在更是荒废到接近损坏。同时小区楼里单元门也没有门禁，导致近两年小区入室盗窃严重，严重威胁居民人身和财产安全。请帮忙解决小区门禁系统的使用问题。
3:由于小区年代过早的原因小区内很多楼都没有安装电梯导致出行很不方便。希望得到解决
4:小区环境严重脏乱差，周边小区就没有比景泰东里小区更脏的，由于小区人口数量较多，但垃圾桶却没多少，到了夜间垃圾桶周围遍布了垃圾，小区内的清洁有时都是小区居民自主的清扫小区内路面
5:小区内停车位不够，小区北侧楼下停车场一晚的停车费要200块，路边又没有设置停车位，希望能够把小区西门路边规划一些停车位供小区业主使用
6:小区内非机动车乱停放问题严重。小区内有一个停放非机动车的车库，但收费高且环境恶劣，导致业主都把非机动车在小区内随意停放，建议小区能够规划出一片非机动车停放区域。
以上建议及请求麻烦领导给予解决或帮助"
8,16995818,东城区委书记孙新军,道路违章停车问题严重，希望可以妥善解决,建言,交通,已办理,2022-12-23 17:14:25,"工体北里门口，春秀路南北方向路边长时间停着一排车，阻塞交通，造成安全隐患。
除了加强监管之外，另一方面附近停车难的问题希望能够得到妥善解决。可以充分发挥利用附近的商业化停车场，例如永利国际有大量的停车位价位过高宁愿空置。希望可以向社会商业化方面寻求合作共赢，妥善解决附近停车难乱停车的问题。"
9,16367358,东城区委书记孙新军,广告旗常年悬挂空中,建言,政务,已办理,2022-10-25 05:58:02,南下洼子胡同1号院个体经营者常年把招揽食客的广告旗悬挂在胡同路中上方，远处看非常的显眼。执法队也回复过说已要求个体经营者整改。但未见成效。希望街道街面巡查人员一定要多注意多观察影响市容市貌的问题。
10,16367348,东城区委书记孙新军,公共道路为什么不能通行,建言,政务,已办理,2022-10-25 05:43:22,交道口街道沙井胡同南侧属于开放性道路，道路宽度不足四米。依照道交法规定小于四米的道路，机动车是禁止停车的。根据北京市胡同停车的相关条例规定。胡同内道路上停车不能影响其他来往车辆正常通行。但是一条开放性道路成了几户居民的停车场且持续了十多年。不仅影响了其他机动车通行，也会使快递车、自行车的通行不畅。
11,16314280,东城区委书记孙新军,乱停乱放,建言,交通,已办理,2022-10-18 20:38:51,简单来说就是破旧车辆乱停乱放，如果能停车就好好停车，胡同要是太窄不适合停车建议做绿化，美化环境，如此乱象已三年有余，望给予解决。此照片拍摄于后局大院胡同健身器材附近 
12,16280507,东城区委书记孙新军,仓南胡同的乱停车该有人管管了,建言,交通,已办理,2022-10-14 22:14:56,仓南胡同是朝内大街和东四十条之间的唯一一条西行单行道，而且中间还有史家小学重要目标点。其东段尤其窄还有拐角，人车混行，通行繁忙不易。但现在东段很多车乱停乱放，严重堵塞和影响交通。同时，联通仓南胡同与南门仓胡同的仓南北巷也是乱停乱放。这个问题建议有关部门管管。谢谢！
13,16280142,东城区委书记孙新军,东城区第一人民医院异地重建项目周边规划,建言,城建,已办理,2022-10-14 21:32:44,本人户口所在地为东城区第一人民医院异地搬迁项目新址北侧正对面，景泰西里9号楼，感觉离医院距离特别近，原来道路就很窄，医院投入使用后预计将更加嘈杂混乱，请问对医院新址周边道路有没有扩建规划，周边居民楼有没有拆迁计划？
14,16252208,东城区委书记孙新军,分司厅胡同路边乱停车严重影响交通,建言,交通,已办理,2022-10-12 07:57:00, 分司厅胡同承载着一所学校一所幼儿园、安定门派出所、鼓楼医院和两个小区的通行功能，一直是本地区的重要通道。可路边常年有车辆乱停乱放占用车道严重堵塞交通，高峰时连行人都无法通过。 恳请领导实地检查，尽快治理早日解决 。
15,16160813,东城区委书记孙新军,真正做到直管公房申请式退租,建言,城建,已办理,2022-09-29 17:47:23,1建议东城区开放百姓自愿申请退租直管公房。居民可根据自家情况进行申请。2、东四南片区什么时候有消息。
16,16053768,东城区委书记孙新军,建议东城区小学给孩子们增配牛奶,建言,教育,已办理,2022-09-19 08:59:23,尊敬的孙书记您好：据周围家长朋友反映，咱东城部分小学未给学生配牛奶，或一周仅有1～2天配送，鉴于孩子们在长身体的阶段，希望学校能给孩子们配牛奶，我们家长也愿意出这个钱，望书记酌情解决为盼～
17,16025842,东城区委书记孙新军,光明小学附近路口早八时是否可以增加交警指挥,建言,交通,已办理,2022-09-16 08:04:05,光明楼公交站每日早八时正好赶上小学上学，所有公交车都进不了站，私家车总是会卡在公交车道，是否可以增加交警指挥，还道路交通一个宁静。
18,16010523,东城区委书记孙新军,申请雍和宫大街东侧直管公房退租,建言,城建,已办理,2022-09-14 17:24:31,"您好，我是北京市东城区北新桥北新胡同直管公房的住户，特别希望能够申请参加直管公房的退租项目。
经与东城区住建委了解，目前直管公房的区域划片上报可以由东城区住建委完成上报，也可以由街道完成推荐/自荐上报。
但是我这里没有途径把意愿传达给社区街道，希望咱们留言板能够帮忙联系到社区街道，或者相关部门。
雍和宫大街东侧不少居民也都盼着能够参加直管公房的退租项目，希望领导和街区或者相关部门能够了解到我们的想法，并且帮忙申请划片。
感谢。"
19,15932933,东城区委书记孙新军,安定门花园东巷紫园加剧周边胡同拥堵,建言,交通,已办理,2022-09-06 16:38:00,"紫园（原城市空间1921文化产业园）营业后，胡同里人流量和车流量激增，加大了周边居民出行难度，希望有关部门可以予以协调改善，主要包括如下几个方面：
1、	现在的园区车辆入口在园区西北口，刚好是丁字路口交界处，由东往西的车还好，一把可以开进去，但有时候遇到由西往东开的车，根本无法进入，只能多次调整后缓慢驶入，遇到其他方向的车辆时极易形成多方拥堵。希望园区可以大门进出车辆，关闭现西北入口。或者大门进，西北口出，园区保安负责相关道路的疏导；
2、	园区大门左侧停了很多共享单车，有时候停车位置非常不好，占据了行车道，希望园区可以加强外部道路管理。
另外，花园胡同两侧希望相关部门可以加强管理，各种车辆（私家车、冷藏车、货车、快递车等）随意停靠，有些家庭在道路旁扎堆烧烤喝酒，浓烟滚滚，不仅造成道路拥堵，客观上对周边消防造成安全隐患，多谢！"
20,15891733,东城区委书记孙新军,建立东城区的早陪或八少八素班,建言,教育,已办理,2022-09-02 08:51:13,1.为更好促进东城教育发展，希望建立类似海淀的早陪或西城的八少八素班，为高智商孩子提供一条高水平教育发展的通道；2.在就近入学和多校划片的前提下，尽量尊重家长和孩子的意愿，开通入学前志愿填报服务
21,15830018,东城区委书记孙新军,二胎幼儿园入园求助,建言,教育,已办理,2022-08-26 11:50:13,领导好，我们家住东城区永定门外安乐林路天天家园小区，我们夫妻双方均在京务工人员，从08年大学毕业至今在京工作，结婚，生子，2019年响应国家政策生二胎，老大幼儿园上的私立，当时全家只供一个孩子，还完房贷孩子教育费用以外也就刚维持正常生活开销，现在二宝也要上幼儿园了，国家这两年也有了普惠幼儿园政策，从没想过占用公立资源的我们本以为盼到了政府的福利，结果普惠园还是依然没有普惠到我们在京务工人员的子女，家附近的三所普惠园（华之澜幼儿园、东城区实验幼儿园、永外实验幼儿园）均未录取，看了周边的私立园都有一些距离且费用高，现在面临着两个压力，一个是接送两个孩子，距离远实在是不方便，二是私立园的费用实在是无力承担，请求领导帮忙协调解决。
