,序号,领导,标题,类型,领域,状态,创建日期,详细内容
0,17857257,朝阳区区长吴小杰,定福庄西街平房腾退问题长期不解决，住所堪忧,建言,城建,办理中,2023-04-25 15:37:52,"区长您好，定福庄西街八号楼周围一圈的平房区分属于四家单位，产权单位众多，非常复杂。
十几年过去，平房区夏天漏雨，冬天寒冷，主要是房子老化太严重，并且周围私搭乱建，电线分布也极其复杂，非常容易着火。
我们居民的诉求就是希望可以居有定所，踏实住上楼房，同作为朝阳区，近两年平房乡平房和双桥周围棚户区居民均已陆陆续续搬迁或有所“动静”，定福庄西街的居民非常焦急，如果可以的话，希望能够将这个问题拎出来，好好讨论下各个产权单位的职责归属，若要拆迁，利益分配问题梳理清楚。"
1,17855300,朝阳区区长吴小杰,共享单车占用消防通道,建言,交通,办理中,2023-04-25 10:44:13,"朝阳区兴隆家园南区北门的门口区域是消防通道，目前在下班高峰后，会有大量的共享单车停在消防通道。其实就在该通道的20米远处，就是共享单车的停车区。只是绝大多数人都懒于多走这几步，都把共享单车停在消防通道。

建议共享单车启动对该消防通道的电子围栏，也就是该区域无法关锁，这样就会引导大家把单车停到停放区域。"
2,17849031,朝阳区区长吴小杰,褡裢坡地铁站青年沟大铁门开放自行车通道,建言,城建,办理中,2023-04-24 11:53:05,"自2021年褡裢坡地铁站D口旁的青年沟道路被装上大铁门后，机动车无法驶入，但是非机动车（自行车，轮椅、电动车）也无法正常在其中同行，靠近定福庄路的行人小门护栏已被拆除，之后非机动车等都正常通行，但是 靠近朝阳北路的行人小门因为有护栏，每次非机动车想过去都很费劲，所以恳请能拆除对应小门的护栏，让非机动车无障碍正常通行，理由如下：
1、定福庄路路面非常窄，而且道路岔口较多，非机动车与机动车混杂 很容易堵车和发生交通事故
2、朝阳北路路边辅路行人较少，行人与非机动车能正常通行并且相对快速安全
3、放开朝阳北路侧的行人小门，有利于减缓定福庄路的交通拥堵，提高出行效率和行人安全"
3,17720191,朝阳区区长吴小杰,电动车不让进村，汽车随便锁车罚款问题,建言,交通,已办理,2023-04-03 18:34:26,郎辛庄村从村口到村里走路十多分钟，走路非常不方便，村里在没有公告强行不让外地住户电动车进入，本村人就可以进入。另外汽车进村已经收费的情况下，随便锁车罚款，请区领导给予解决！
4,17658095,朝阳区区长吴小杰,请求把798西门钢丝网拆除,建言,城建,已办理,2023-03-24 13:45:08,798西门与电子科技城中间有一道铁丝网，把很多去往798的人都拦住了，每天至少拦住200 人以上， 非常的不方便。建议打开原先预留的出入口。
5,17652905,朝阳区区长吴小杰,北苑东路与清河营南滨河路交叉路口施工占道建议,建言,城建,已办理,2023-03-23 17:44:44,"领导您好：
      朝阳区17号线北段施工影响，在北苑东路与清河营南滨河路交叉路口西南侧，占用道路的施工围挡为直角，侵占了部分右转的车道，由于汽车转弯半径问题，右转车辆必须探入更多的“南向北直行车道”导致了右转车辆转弯困难。又因机动车右转时会压缩非机动车行车空间，更加剧了右转困难。
     基于上述情况，领导能否安排相关部门，将该施工区域的“直角”围挡，稍稍后退些，变更为“圆角”。既不会影响地铁施工，又提高道路通行效率。
      希望领导可以采纳。感谢！
"
6,17643264,朝阳区区长吴小杰,请问公房合居产权问题什么时候出台政策？,建言,城建,已办理,2023-03-22 13:01:07,"区长您好：
我家在朝阳区有一个公房的合居，两家住一起，很多很多年了。两家住一起不方便，而且有安全隐患，之前其他分一居室两居室的人，现在可以房改，得到产权，上市交易，但我们合居的人到现在还没有相应的政策能够解决产权的问题，我觉得很不公平，不合理。之前联系住建委或者房管局，产权单位等等，都回复正在研究政策，说朝阳区去年试点了几个单位，不知道试点结果如何？请问合居房的产权问题什么时候能出台政策？谢谢！"
7,17631487,朝阳区区长吴小杰,来自芍药居北里居民的求助,建言,政务,已办理,2023-03-21 08:17:24,1.芍药居北里的车位极度紧张，问了下物业专门的窗口，说排队1000号人以上，三年内没戏，退一万步讲，就算排上了，地下车库好多还没法安装充电桩，充电也比较麻烦，建议给小区增配车位和充电桩。2.我家有两个儿子，老大今年上小学，老二今年上幼儿园，家里只有一位70岁的爷爷看护，最近刚在小区买了房子，有没有政策支持下二孩家庭上学问题，老大如果被分到和平西桥压力更大了。
8,17547014,朝阳区区长吴小杰,垡头地区缺乏报刊亭,建言,文娱,已办理,2023-03-09 10:57:17,我所在的小区五公里范围内没有零售报纸、杂志的报刊亭，小区附近居民众多，有翠城多个系列小区、双合双美家园、祁东一期二期三期、北焦家园等等，还有众多中小学，人口密集，却缺乏在东西城常见的报刊零售亭。对于辖区内文化传播，党建宣传这块需要，也丰富了居民文化生活。希望领导在化工路或者祈东家园路边批准设立，谢谢
9,17539792,朝阳区区长吴小杰,北京眼镜城附近居民周末回家难、出门难问题,建言,交通,已办理,2023-03-08 16:05:44,"        难处：我家住北京市朝阳区武圣西里28号院，紧邻北京眼镜城（眼镜城北侧），我代表附近居民请求领导帮忙解决一下我们回家难的问题（眼镜城北侧有好几个小区），每逢周末，进入眼镜城车流较大，附近居民回家和去眼镜城的外来车辆都需要走三环辅路，交汇在一起，拥堵很厉害，开车回家太难了，不到1公里路程，得半小时以上才能回到家；眼镜城北侧小区居民出行，辅路进入三环主路的入口偏南，开车出行必须经过劲松桥后才能有入口进入三环主路，导致早高峰的劲松桥南侧辅路严重拥堵（目前早高峰此路段至少等3此红绿灯才能过去），给居民出行造成较大影响。
        个人建议：在三环外环主路南向北过北京眼镜城增设出口，将原辅路进主路的入口往北移（可移到北侧天桥附近）。好处有：1、眼镜城北侧居民回家不用与去眼镜城的外来车辆挤，很大程度上降低辅路的拥堵，居民回家也会更方便；2、原辅路进入主路的入口往北移后，家住眼镜城北侧的居民，出门后可以直接上三环主路，可以减轻当前劲松桥南侧辅路南向北的交通拥堵（目前早高峰此路段至少等3此红绿灯才能过去）。希望领导们能重点关注，让专业团队评估一下，让老百姓方便回家，方便出行，减少拥堵，提升老百姓幸福指数。谢谢。"
