,序号,领导,标题,类型,领域,状态,创建日期,详细内容
0,17780213,海淀区区长李俊杰,关于海淀妇幼茶棚院区交通问题反馈,建言,交通,已办理,2023-04-13 08:17:54,"海淀妇幼茶棚院区为新院区，来过两次，有如下两个交通问题，请给予关注和解决:
1. 公共交通差，站点少，线路少。公交站距离医院远。
2.停车位少:基本没有停车位，路边停车位被长期占用，附近没有停车场过停车场关闭。停在停车线外成了无奈之举。

请给予关注和解决，谢谢"
1,17762317,海淀区区长李俊杰,建议三山五园区域内规划大型商超等休闲设施,建言,城建,已办理,2023-04-10 17:50:24,"1、多有攻略显示北京海淀重点游览地区集中在三山五园附近，但在三山五园中心除了星悅荟，没有其他大型餐饮休闲场所了，对于旅游来说不是很友好，想换个鞋衣服都没地儿。
2、附近的居民也是，生活不是很方便。
3、听闻肖家河要有商业街，不知道能不能建成一个较高级的商业中心，应该能便民又能拉动旅游消费。"
2,17754961,海淀区区长李俊杰,希望社区恢复老年人活动中心，有小饭桌服务,建言,文娱,已办理,2023-04-09 14:23:23,"您好！我是北京市海淀区清河长城润滑油社区的居民。我们小区停止了老年活动中心的运营。我们的父母长辈都很喜欢这个场所。我们的长辈都年岁很大了，他们喜欢聚在一起打台球，打乒乓球，在过1-2年也许真的打不动，这个是不是可以给社区一个明确的指令，现在可以恢复老年活动中心的功能了呢？
还有我们小区没有方便老年人的小饭桌服务，我们是否也能享受这个服务呢？
希望得到您的帮助。
感谢！"
3,17716813,海淀区区长李俊杰,花园路街道的黄亭子路北段烧纸现象严重,建言,城建,已办理,2023-04-03 10:49:30,又到了一年清明时，寄托哀思是人之常情，但该路段每晚都有不少人地上画圈烧纸，严重污染空气，给周边居民带来困扰，同时也带来消防风险，请相关部门协助处理下
4,17708822,海淀区区长李俊杰,马连洼兰园小区电动车充电事宜,建言,政务,已办理,2023-04-01 19:05:53,1小区电动车多，一方面车棚内没有充足充电桩，另一方面一些自行车长期无人认领，浪费公共资源，是否能够充分清理掉。另外建议安装充电桩。谢谢！
5,17696363,海淀区区长李俊杰,四环辅路海淀桥下大路口绿灯时间过短,建言,交通,已办理,2023-03-30 16:50:25,海淀桥下大路口绿灯时间过短，速度慢的过马路来不及，而红灯时间过长
6,17491052,海淀区区长李俊杰,请海淀区建委出面协调旧房改造,建言,城建,已办理,2023-03-04 10:37:07,学院路甲九号院两栋上世纪80年代的老楼，早就在北京市旧房改造范围内，屋顶漏水下水道堵塞多年解决不了，且外墙脱落存在安全隐患。目前托管的物业如同虚设，产权单位十多年不作为，导致旧房改造迟迟得不到落实，希望海淀区建委及相关部门出面与产权单位协调。#人民建议#
7,17469369,海淀区区长李俊杰,交大东路道路两盘的绿化带墙体建设,建言,城建,已办理,2023-03-02 11:08:31,交大东路道路两边的绿化带墙体，已经拆除了快1年了，貌似要美化重建，快1年了迟迟没动静，影响城市道路风貌。
8,17387571,海淀区区长李俊杰,关于老房改造的一点建议,建言,城建,已办理,2023-02-21 20:54:45,领导您好！我是海淀区甘家口小区34楼居民，关于老旧小区改造事宜，有几点个人想法和建议，请您参考。1.更换上水和下水主管线和住户分支管线；2.楼道内管（电）线走槽，规范走线；3.楼宇门禁（防盗门）修复维护；4.外墙保温修复粉刷；5.统一窗户；6.二楼及以上楼层防护护栏拆除；7.高层私建飘窗隐患整治；8.空调室外机统一安装；9.增加绿地和活动场所；10.规划正规停车车位；11.增加监控探头。
9,17356479,海淀区区长李俊杰,建议北清路北安河站南侧辅路雨水沟改为管道,建言,城建,已办理,2023-02-17 22:24:25,北清路北安河站南侧辅路，有一条的雨水沟，建议改为管道，且尽快改造。因为南侧新建了一个幼儿园，活动人员特别是小孩会逐渐增多，当然雨水沟没有任何围栏等防护设施，夏天雨水旺季会非常危险。且作为一条市重点主干道，辅路的排水还用明渠方式，极影响美观。
10,17218201,海淀区区长李俊杰,苏二路中央绿化带建议修剪,建言,交通,已办理,2023-01-30 15:10:45,苏二路（西至柳泉路、东至苏四路）段，路中央绿化带的松树已影响行人及机动车视线，极易出现“鬼探头”，建议修剪
11,17192969,海淀区区长李俊杰,建议346路与专16路合并,建言,交通,已办理,2023-01-23 19:02:57,346路连接了凤凰岭，与聂各庄，草场，北安河等多个村落，但是北端和16号线难以接驳。而346路与专16路路由相近，专16路功能为凤凰岭，聂各庄，草场等地居民前往北安河站。故建议346路增加绕行地铁北安河站的走向（如图），增加346路与地铁的接驳，缓解北安河路由于道路过窄而造成的拥堵问题，并且方便周边的安河家园等小区出行。原有的专16路的车辆可作为346路的加车，增加车次，并且在节假日等大客流情况时加开凤凰岭至地铁北安河站的区间。
12,17190653,海淀区区长李俊杰,旅游景点标识,建言,旅游,待回复,2023-01-22 16:28:05,        大年初一我到圆明园逛庙会，进东门后看到一个导游牌太不协调了，望有关部门给予妥善处理。
