,序号,领导,标题,类型,领域,状态,创建日期,详细内容
0,17828713,海淀区委书记王合生,建议严格管理外卖快递电动自行车,建言,交通,待回复,2023-04-20 21:30:44,北京道路交通拥堵严重，除了机动车保有量多，公交道可用时间和规划没有精细化管理之外，其实很多时候也和外卖快递，电动自行车，共享单车不遵守道路规则有关，导致机动车频繁并线或者被堵住无法通行。目前感觉外卖快递占自行车道非常严重，比如清华东路的凯时广场，展春园西路的蓟鑫大厦楼下，五道口华联附近。日常有城管执法时则没有占用，执法人员离开后立刻又恢复原状，占用道路严重导致交通拥堵。希望有关部门可以出台较为严厉的规定，对这类行为进行警告惩罚，比如根据违反次数警告或者扣车及罚款。同时对于闯红灯，逆行等行为也需要严格执法，通过罚款扣车进行威慑，否则既浪费人力也没有可持续的效果。建议对外卖快递，电动车，老年代步车的管理办法，严格执法，高额罚款及扣车，可以有效减少违章行为，提高城市交通运行效率
1,17717132,海淀区委书记王合生,玉海园小区车位少，汽车乱停乱放，急需增加车位,建言,城建,已办理,2023-04-03 11:25:39,"现状：玉海园小区车位少，汽车乱停乱放严重，主干道、消防通道均被占用，大面积的绿化荒芜，被居民乱占乱用，市容极差。
问题：之前反映将绿化改造成车位问题，有关部门却以绿化需要满足要求为由拒绝。但实际情况却是绿化面积远超《国家园林城市系列标准》 第二条 旧居住区改造，绿化面积不少于总用地面积的25 ％的规定。但车位比例尚不足1:0.2，严重不足，不符合《民法典》关于小区车位满足业主需求的规定。相关部门推诿不作为。
建议：目前玉海园小区正在进行老旧小区改造，希望政府推动街道藉此机会拆除违建、将部分荒芜绿化改造为停车位，合理处理绿化与车位需求问题。
法律依据：
1、《中华人民共和国民法典》第一千零七十四条 建筑区划内，规划用于停放汽车的车位、车库应当首先满足业主的需要。建筑区划内，规划用于停放汽车的车位、车库的归属，由当事人通过出售、附赠或者出租等方式约定。占用业主共有的道路或者其他场地用于停放汽车的车位，属于业主共有。/2、《中华人民共和国民法典》法律效力大于《国家园林城市系列标准》 "
2,17689857,海淀区委书记王合生,安阳西路拓宽项目,建言,交通,已办理,2023-03-29 18:36:54,2021年草场村启动安阳西路拓宽项目，宅基地都腾退完成。安阳西路拓宽项目什么时候开始修建？是否占用草场村园地，是否有征地公告。
3,17680428,海淀区委书记王合生,学院路京昌路新建小学的建议,建言,教育,已办理,2023-03-28 12:25:30,您好，我是学院路地区学生家长，建议如下：1、北沙滩附近有新建小学幼儿园，希望综合考虑提升学院路区域教学质量，建立优秀学校集团管理的标杆学校。2、建议充分利用清华东路小学旧址和京昌路楔形绿地棚改项目配套小学，学府公馆配建幼儿园地块进行整合，同校不同教学地址，建立9年一贯学校。
4,17652328,海淀区委书记王合生,关于双休日开放校园操场的建议,建言,体育,已办理,2023-03-23 16:20:09,"1.社区运动条件差，大量健身器材被占用；
2.德智体美劳全面发展，五育并举，学生参与体育活动的积极性不足；
3.方案一：错峰开放校园运动场；
4.方案二：校园平台预约制；
5.学生家长与校方签订安全承诺书，出现安全问题责任自负。"
5,17604036,海淀区委书记王合生,建议初中部能够去大学堂食,建言,教育,已办理,2023-03-16 13:49:09,建议初中部能够去大学堂食，初中部距离大学食堂，只有区区五百米距离。希望领导能够帮忙落实，非常感谢。
6,17591879,海淀区委书记王合生,危墙整治建议,建言,城建,已办理,2023-03-14 17:24:13,海淀区中关村南五街，希格玛大厦西侧围墙，出现墙围外倾趋势，岌岌可危，常有行人通过，一旦倾倒，极易造成人身伤害，怕是要危及性命，建议领导派人视察整治，未雨绸缪，防患于未然
7,17505203,海淀区委书记王合生,建议保留八里庄街道慧美八里党群中心图书借阅功,建言,文娱,已办理,2023-03-05 16:34:00,我是2020年搬到海淀居住的，搬过来不久发现小区附近有慧美八里党群活动中心，后来几乎有空带着孩子过来看书，学习，备考职业证书，今天过来发现这里要把图书借阅的功能去除掉，心中万分不舍，毕竟这里是离家最近的可以学习看书的公共资源，如果说为了提升中心的使用效率，建议可以保留一个小区域进行图书借阅和学习。这个中心三层楼呢，有很多的空间，不建议完全就去除借阅职能。
8,17406284,海淀区委书记王合生,建材城西二里改造问题,建言,城建,已办理,2023-02-23 20:42:56,"1.建材城西二里作为海淀区西三旗地区几乎最旧的小区。一直没有改造计划，问就是央地混改政策还没清晰，不能开展工作。
2.现在西二里小区的首*物业那不是物业，就是大爷，去缴费都不抬眼看你，不夹枪带棒都不会说话，跟多少业主都打过架，收物业费倒是挺积极，不知道这样的物业有什么存在价值和意义。"
9,17369887,海淀区委书记王合生,皂甲屯出入口破烂不堪,建言,政务,已办理,2023-02-19 22:20:59,尊敬的领导，海淀区皂甲屯村出入口执行收费后，在收费口处拜访一些椅子，水泥墩，锥桶等，皂甲屯西出口在用铁皮，铁丝等拉了一堆，不但给行人和机动车造成安全隐患还严重影响村容村貌。希望物业公司移出出入口处乱七八糟的障碍物。
10,17354144,海淀区委书记王合生,肖家河拆迁,建言,城建,已办理,2023-02-17 17:13:25,海淀区七彩花园南侧的违章建筑（肖家河东村甲一号）近期要拆了吧，里面的违章别墅和四合院能同时拆除吗，大约什么时候能拆完？拆除后是否恢复绿地？
11,17288086,海淀区委书记王合生,西北旺南路和东北旺路连接的断头路,建言,城建,已办理,2023-02-09 22:48:25,2023年2月9日，西北旺南路和东北旺路连接的断头路都好多年没有修通了。 导致软件园二期里面道路拥堵也不止一两年了， 苗圃宿舍楼前道路也狭窄 ，大门口错车也不方便。 从宿舍楼小区出来的车只有左转一个出口， 往右根本出不去， 右转弯出来的车顶到头就是这条烂尾路， 无法通行很不方便周边群众出行 。这条路什么时候能修通呀， 望领导能督促有关部门马上解决一下。  
12,17283821,海淀区委书记王合生,关于农村宅基地的建议,建言,三农,已办理,2023-02-09 15:34:26,"1.加快农村宅基地确权登记工作，对于已分户的，按实际情况分别确权登记。
2.调整宅基地建房政策。已分户的或符合分户条件的，按分户后情况增加建房面积，并颁发新的门牌号。
3.农村宅基地建房简化手续。
4.允许户口在本集体，由于上学工作的原因转成非农户口的合法继承人翻建房屋。"
13,17265341,海淀区委书记王合生,八家郊野公园公厕空调可关闭,建言,环保,已办理,2023-02-07 15:06:00,中午在北京八家郊野公园走路时发现，一公厕空调开放，公厕的门开着，有点浪费电。现在天暖和了，建议及时关闭空调，节约用电。
14,17255516,海淀区委书记王合生,建议在入学政策上给予二孩三孩家庭适当优待,建言,教育,已办理,2023-02-06 12:19:06,领导您好！现在国家鼓励生二孩三孩，但是，孩子照顾和上学问题一直都是比较麻烦和耗费家长精力的。目前海淀区实行多校划片的政策，家中有多个孩子的话，很容易导致孩子分配到不同学校或者偏远学校。希望政府在政策中增加对二孩三孩的照顾，优先解决二孩三孩的就近入学，这样可以帮助家庭解决孩子接送困难等问题。也能增加大家生育多个孩子的意愿！
15,17251283,海淀区委书记王合生,关于西三旗街道办搬迁地址至新都环岛地区的建议,建言,政务,已办理,2023-02-05 14:56:15,领导您好，西三旗街道是海淀一直以来的后发地区也是未来创新发展的新兴地区，整个街道行政区划形状狭长并且接到内部发展不均衡，现状西三旗街道办公地点位于清河上清桥北侧附近，出入城区交通便利但是地理位置远离西三旗广大地区辐射带动作用不明显，为促进西三旗地区均衡发展尤其是东北侧后发地区发展，建议适时将西三旗街道办办公地点迁移至街道地理中心地带即新都环岛附近，与在建的西三旗金隅科技园、西三旗万象汇等形成强有力的地区发展核心，促进街道发展更上一个台阶！
16,17228774,海淀区委书记王合生,路面地标线问题,建言,交通,已办理,2023-02-01 12:31:42,北京市海淀区青龙桥街道香山路与颐和园路丁字路口，西向东有旧的实线 斑马线 旧网格线未清理干净。右转专用道实线太长了，来不及变道。
17,17219628,海淀区委书记王合生,马连洼北路与永丰路东向北方向优化,建言,交通,已办理,2023-01-30 19:26:45,"马连洼北路与永丰路路口是五环内万泉河快速路到中关村科学城北区（中关村软件园、永丰等）关键节点，随着中关村科学城北区发展，该路口早高峰拥堵情况愈发加重。
其中，马连洼北路东向西方向药用植物园南门至永丰路区间共6车道（从左到右分别为掉头/左转、左转、左转、直行、直行/右转、右转），右转只有1.5条车道，直行/右转车道经常性被直行车挡住导致无法使用。
此外，右转车辆还要经常避让永丰路大批从马连洼西北出口走人行道过马路赶班车的行人，导致吞吐量极低，工作日早高峰（9-10点）东向北右转车辆大量聚集导致堵车或交通缓慢，甚至影响路口其他方向吞吐。
与此同时其他车道车辆很少，道路无法被充分利用。
建议：
1. 重新划分车道，减少左转车道和直行车道（尤其是直行车道），保留至少两条右转专用道。
2. 考虑路口行人过街天桥或地下通道。"
18,17218702,海淀区委书记王合生,建议在二小幼儿园、学校门前增设交通减速装置,建言,城建,已办理,2023-01-30 16:29:37,"-建议：增设多条减速带及学校标志路牌，反光地标灯装置，提醒过往车辆减速避让学生
-位置：位于唐家岭南环路幼儿园门前、唐家岭西一路小学门前
-周边设施：中关村第二小学科学城北区幼儿园，北京市海淀区中关村第二小学(科学城北区分校)
-建议理由：
1.该路口，每当上下学高峰时，车流、人流量增多，私家车大巴车路边停靠，过往车辆不减速
2.上学的学生多为低龄学员，幼儿园、及小学三年级以下学员
3.周边工地较多，绿皮渣土车通过学校门口前车速较快"
19,17201785,海淀区委书记王合生,希望昌平线南延和6号线，16号线二里沟站早日,建言,交通,已办理,2023-01-27 09:22:02,昌平线南延和6号线，16号线二里沟站原定2022年底通车，结果由于施工进度原因推迟到春节前开通，但现在又在继续拖，开通遥遥无期，给沿线居民出行带来很大不便。希望领导能帮助推进昌平线南延和二里沟站尽快通车，同时希望能给出关于具体开通时间的答复，谢谢！
20,17123850,海淀区委书记王合生,上庄沙阳路口空地规划,建言,交通,已办理,2023-01-10 13:30:40,"看到有其他百姓在反馈上庄沙阳路路口空地规划的咨询，也看了官方给到的回复。就目前上庄沙阳路无大型商场，还是希望再次线下观察。所谓的专家回复上庄轨道沿线居民较少这个理由不成立。通过第三方数据平台查询：上庄沙阳路常住人口：3.31w，工作人口7602。目前还有周边的上庄村拆迁至此，后续人口更会增加。希望再次评估。
"
21,17072857,海淀区委书记王合生,海淀段清河两侧的沿河步道优化建议,建言,城建,已办理,2023-01-03 13:59:00,相比于上海、纽约、伦敦和巴黎，北京是国际大都市中唯一非常缺少河道和水道的城市，尤其是城区中，因此希望能够利用好城市里穿行的河流，设计规划合理的沿河步道。海淀段清河的步道虽然有建设，但是缺乏设计和规划，导致很窄很荒凉，希望可以参考上海黄浦滨江，徐汇滨江，西岸，以及巴黎塞纳河和伦敦的泰晤士河沿岸，能够好好规划，同时引入国际设计公司，进行真正的艺术设计和规划，提升海淀人民生活的幸福指数。将自然景观，商业和设计感融入到河边步道的建设。同时也可以结合海淀区的自行车步道，建设沿河骑行路线，解决目前的乱相。最起码也得达到亮马河或者望京北小河的效果，相信海淀可以做到。
